subject,trial_id,gain,loss,trial_pay,stage_pay,win_plan_take_final_take,win_plan_take_final_reject,win_plan_reject_final_take,win_plan_reject_final_reject,lose_plan_take_final_take,lose_plan_take_final_reject,lose_plan_reject_final_take,lose_plan_reject_final_reject
71,17,100,-100,-100,-100,0,0,0,0,0,0,0,1
71,18,200,-200,-100,200,1,0,0,0,0,0,0,0
71,19,160,-140,400,-140,0,0,0,0,0,0,0,1
71,20,120,-100,-140,120,0,0,0,1,0,0,0,0
71,21,180,-200,120,180,0,0,0,1,0,0,0,0
71,22,200,-120,180,200,0,0,0,1,0,0,0,0
71,23,180,-100,200,-100,0,0,0,0,0,0,1,0
71,24,100,-120,80,-120,0,0,0,0,0,0,1,0
71,25,200,-160,-120,-160,0,0,0,0,0,0,0,1
71,26,200,-220,-160,200,0,0,0,1,0,0,0,0
71,27,160,-100,200,-100,0,0,0,0,0,0,0,1
71,28,200,-180,-100,-180,0,0,0,0,0,0,1,0
71,29,200,-100,-180,200,1,0,0,0,0,0,0,0
71,30,140,-100,400,140,0,0,1,0,0,0,0,0
71,31,200,-140,140,200,1,0,0,0,0,0,0,0
71,32,80,-100,60,-100,0,0,0,0,0,0,0,1
71,33,100,-100,-100,-100,0,0,0,0,0,0,1,0
72,1,200,-100,0,-100,0,0,0,0,0,0,1,0
72,2,200,-200,-100,200,0,0,0,1,0,0,0,0
72,3,160,-140,200,-140,0,0,0,0,0,0,0,1
72,4,120,-100,-140,120,0,1,0,0,0,0,0,0
72,5,180,-200,120,180,0,0,0,1,0,0,0,0
72,6,200,-120,180,200,0,0,0,1,0,0,0,0
72,7,180,-100,200,-100,0,0,0,0,0,0,0,1
72,8,100,-120,-100,-120,0,0,0,0,0,1,0,0
72,9,200,-160,-120,-160,0,0,0,0,0,0,1,0
72,10,200,-220,-160,200,0,0,0,1,0,0,0,0
72,11,160,-100,200,-100,0,0,0,0,0,1,0,0
72,12,200,-180,60,-180,0,0,0,0,0,1,0,0
72,13,200,-100,20,200,0,0,0,1,0,0,0,0
72,14,140,-100,200,140,0,0,0,1,0,0,0,0
72,15,200,-140,140,200,0,0,0,1,0,0,0,0
72,16,80,-100,200,-100,0,0,0,0,0,0,0,1
72,17,100,-100,-100,-100,0,0,0,0,0,0,0,1
72,18,200,-200,-100,200,1,0,0,0,0,0,0,0
72,19,160,-140,400,-140,0,0,0,0,0,0,0,1
72,20,120,-100,-140,120,1,0,0,0,0,0,0,0
72,21,180,-200,20,180,0,0,0,1,0,0,0,0
72,22,200,-120,180,200,1,0,0,0,0,0,0,0
72,23,180,-100,80,-100,0,0,0,0,0,0,1,0
72,24,100,-120,-100,-120,0,0,0,0,1,0,0,0
72,25,200,-160,-240,-160,0,0,0,0,0,0,0,1
72,26,200,-220,-160,200,0,0,0,1,0,0,0,0
72,27,160,-100,200,-100,0,0,0,0,0,0,0,1
72,28,200,-180,-100,-180,0,0,0,0,0,0,0,1
72,29,200,-100,-180,200,1,0,0,0,0,0,0,0
72,30,140,-100,400,140,1,0,0,0,0,0,0,0
72,31,200,-140,40,200,1,0,0,0,0,0,0,0
72,32,80,-100,60,-100,0,0,0,0,0,1,0,0
72,33,100,-100,-100,-100,0,0,0,0,0,0,0,1
73,1,200,-100,0,-100,0,0,0,0,1,0,0,0
73,2,200,-200,100,200,1,0,0,0,0,0,0,0
73,3,160,-140,400,-140,0,0,0,0,1,0,0,0
73,4,120,-100,20,120,0,0,0,1,0,0,0,0
73,5,180,-200,120,180,0,1,0,0,0,0,0,0
73,6,200,-120,180,200,1,0,0,0,0,0,0,0
73,7,180,-100,80,-100,0,0,0,0,1,0,0,0
73,8,100,-120,80,-120,0,0,0,0,1,0,0,0
73,9,200,-160,-240,-160,0,0,0,0,0,0,0,1
73,10,200,-220,-160,200,0,1,0,0,0,0,0,0
73,11,160,-100,400,-100,0,0,0,0,0,1,0,0
