gamble_id,gain,loss,stage1_outcome,signal_to_noise,BF
1,200,-200,x_G,0.0,-2.6543307745968545
2,120,-100,x_G,0.09090909090909091,-11.416922214618387
3,180,-200,x_G,-0.05263157894736842,-2.7391119166299283
4,200,-120,x_G,0.25,-14.107387181064508
5,200,-220,x_G,-0.047619047619047616,-6.295236885282897
6,200,-100,x_G,0.3333333333333333,-18.840668189934707
7,140,-100,x_G,0.16666666666666666,-8.904306845342512
8,200,-140,x_G,0.17647058823529413,-6.600602803160754
10,160,-140,x_L,0.06666666666666667,-8.278745138291535
11,180,-100,x_L,0.2857142857142857,-19.066250585602802
12,100,-120,x_L,-0.09090909090909091,-1.5474002216215537
13,200,-160,x_L,0.1111111111111111,-14.293272717168078
14,160,-100,x_L,0.23076923076923078,-14.387048069251977
15,200,-180,x_L,0.05263157894736842,-11.890476459607614
16,80,-100,x_L,-0.1111111111111111,-4.387915663097609
17,100,-100,x_L,0.0,-7.009040454520503
